"STATION","STATION_N","ROUTE","MP","NEG_AADT","POS_AADT","TOT_AADT","NEG_0000","NEG_0100","NEG_0200","NEG_0300","NEG_0400","NEG_0500","NEG_0600","NEG_0700","NEG_0800","NEG_0900","NEG_1000","NEG_1100","NEG_1200","NEG_1300","NEG_1400","NEG_1500","NEG_1600","NEG_1700","NEG_1800","NEG_1900","NEG_2000","NEG_2100","NEG_2200","NEG_2300","POS_0000","POS_0100","POS_0200","POS_0300","POS_0400","POS_0500","POS_0600","POS_0700","POS_0800","POS_0900","POS_1000","POS_1100","POS_1200","POS_1300","POS_1400","POS_1500","POS_1600","POS_1700","POS_1800","POS_1900","POS_2000","POS_2100","POS_2200","POS_2300","TOT_0000","TOT_0100","TOT_0200","TOT_0300","TOT_0400","TOT_0500","TOT_0600","TOT_0700","TOT_0800","TOT_0900","TOT_1000","TOT_1100","TOT_1200","TOT_1300","TOT_1400","TOT_1500","TOT_1600","TOT_1700","TOT_1800","TOT_1900","TOT_2000","TOT_2100","TOT_2200","TOT_2300","SUTRUCKS","CUTRUCKS"
"-0314",314,"0006",226.966,3923,4092,8015,32,27,25,28,48,69,84,120,168,216,249,271,291,308,311,314,306,275,227,182,144,106,75,47,49,36,24,22,28,42,80,132,194,237,280,308,302,295,302,305,297,267,228,207,178,124,92,63,81,63,49,50,76,111,164,252,362,453,529,579,593,603,613,619,603,542,455,389,322,230,167,110,0.16,0.237
"-0315",315,"0015",321.96,82703,83049,165752,521,348,304,460,981,2871,5226,5761,5692,4826,4464,4633,4709,4709,4900,5338,5509,5474,4718,3472,2947,2354,1572,914,891,555,374,326,480,999,2086,3204,3679,3804,4130,4544,4838,5211,5895,6871,7151,6881,5793,4432,3749,3246,2445,1465,1412,903,678,786,1461,3870,7312,8965,9371,8630,8594,9177,9547,9920,10795,12209,12660,12355,10511,7904,6696,5600,4017,2379,0.129,0.075
"-0316",316,"0089",402.695,20352,19689,40041,105,67,52,81,193,620,1342,1521,1373,1105,1047,1127,1161,1157,1205,1419,1514,1543,1154,813,697,533,342,181,184,101,63,51,91,196,495,948,1101,952,909,967,1007,1079,1242,1630,1890,1848,1556,1001,827,705,530,316,289,168,115,132,284,816,1837,2469,2474,2057,1956,2094,2168,2236,2447,3049,3404,3391,2710,1814,1524,1238,872,497,0.142,0.02
"-0317",317,"0210",4.166,3439,3375,6814,26,10,4,3,4,8,20,40,65,88,120,173,238,288,364,461,490,393,207,137,115,83,58,44,10,5,3,4,13,48,137,303,436,394,306,261,248,229,225,169,144,123,100,72,55,42,30,18,36,15,7,7,17,56,157,343,501,482,426,434,486,517,589,630,634,516,307,209,170,125,88,62,0.028,0.009
"-0318",318,"0080",161.501,7654,7266,14920,72,57,57,66,102,184,343,449,431,428,447,478,491,498,527,534,535,510,417,327,256,199,147,99,81,62,53,58,68,101,170,262,323,392,442,458,468,486,521,576,615,610,460,324,251,205,162,118,153,119,110,124,170,285,513,711,754,820,889,936,959,984,1048,1110,1150,1120,877,651,507,404,309,217,0.1,0.277
"-0319",319,"0189",13.342,9166,9024,18190,67,32,22,16,30,77,160,306,412,439,493,550,585,619,677,782,898,861,650,462,380,313,209,126,51,27,17,17,41,126,346,526,583,532,492,515,547,590,634,672,735,717,570,416,333,277,169,91,118,59,39,33,71,203,506,832,995,971,985,1065,1132,1209,1311,1454,1633,1578,1220,878,713,590,378,217,0.237,0.072
"-0320",320,"0039",13.243,4406,4428,8834,17,10,8,12,41,87,147,260,258,250,265,290,299,306,324,353,381,336,234,176,150,111,58,33,31,18,9,7,8,31,109,199,272,244,237,257,281,295,312,351,376,383,307,231,184,144,90,52,48,28,17,19,49,118,256,459,530,494,502,547,580,601,636,704,757,719,541,407,334,255,148,85,0.017,0.013
"-0321",321,"0006",149.65,732,758,1490,4,2,2,1,4,13,25,42,36,41,43,46,50,45,46,51,59,63,53,39,27,20,13,7,3,2,2,4,12,25,28,34,34,37,42,47,52,52,62,64,71,58,43,31,24,16,10,5,7,4,4,5,16,38,53,76,70,78,85,93,102,97,108,115,130,121,96,70,51,36,23,12,0.035,0.063
"-0324",324,"0491",9.0,1508,1542,3050,17,15,13,13,17,26,38,61,73,93,107,115,113,111,114,111,102,93,82,63,48,37,26,20,17,13,11,12,16,22,31,41,63,85,104,112,112,116,124,124,118,115,91,69,54,40,29,23,34,28,24,25,33,48,69,102,136,178,211,227,225,227,238,235,220,208,173,132,102,77,55,43,0.071,0.297
"-0325",325,"0089",377.45,12526,12484,25010,170,124,75,40,35,57,133,267,410,507,625,801,913,879,895,980,1162,1232,850,637,556,504,403,271,126,85,53,35,42,109,269,654,918,702,674,775,873,874,841,817,834,890,808,642,528,431,307,197,296,209,128,75,77,166,402,921,1328,1209,1299,1576,1786,1753,1736,1797,1996,2122,1658,1279,1084,935,710,468,0.083,0.017
